Сценарий,Шаги,Действие юзера,Ответ бота,Что проверяем,Как запишем ошибку
"Сценарий 1 - стандартные действия",1,/start,"Привет, <username>! Я Джаги — твой бот‑помощник на конференции <название конференции>.
Я помогу тебе составить твой личный ""маршрут"" на конференции, чтобы попасть именно на те доклады, которые будут максимально интересны, и напомню об их начале, чтобы ничего не пропустить.
Хочешь попробовать?",Бот не начал следующий шаг,1. Бот не начал следующий шаг / не ответил на старт
"Сценарий 1 - стандартные действия",2,"Нажимает кнопку ""Да""","Отлично! Укажи, пожалуйста, свой пол:","1. Кнопка есть и на неё можно нажать
2. Бот не начал следующий шаг",2. Ошибка нажатия Да или бот молчит
"Сценарий 1 - стандартные действия",3,"Нажимает на кнопку ""Женский""","Отлично! Давай сначала познакомимся.
Скажи, чем ты занимаешься?",Бот не начал следующий шаг,3. Бот не принял пол
"Сценарий 1 - стандартные действия",4,"Отправляет одно из сообщений:
1. Фронт-енд
2. Java разработчик
3. Блоггер
4. DS
5. Дата-инженер
6. <название случайной профессии>","Круто! Приятно познакомиться!

Сейчас давай поиграем в игру — я буду выводить тебе пары докладов и супер‑сжатую информацию о них, а ты будешь выбирать, какой именно из них тебе больше нравится. И так до тех пор, пока тебе не надоест.

Начнём?",Бот не начал следующий шаг,4. Бот не принял профессию
"Сценарий 1 - стандартные действия",5,"Да, погнали","Вот пара докладов. Выбери тот, который тебе интереснее:",Проверка начала игры,5. Игра не началась
"Сценарий 1 - стандартные действия",6,"Нажимает кнопку ""Выбрать""","Принято! А вот следующая пара:",Проверка игровой механики,6. Ошибка выбора доклада
"Сценарий 1 - стандартные действия",7,REPEAT 6-6 3,,Цикл выбора докладов 3 раза,
"Сценарий 1 - стандартные действия",8,"Нажимает кнопку ""Хватит""","Отлично! Твой маршрут сформирован.",Проверка выхода из игры,8. Бот не завершил игру
"Сценарий 2 - не играю в тиндер",1,/start,"Привет, <username>! Я Джаги",Бот не начал следующий шаг,1. Бот не начал следующий шаг
"Сценарий 2 - не играю в тиндер",2,"Нажимает кнопку ""Да""","Отлично! Укажи, пожалуйста, свой пол:",,2. Ошибка кнопки Да
"Сценарий 2 - не играю в тиндер",3,"Нажимает на кнопку ""Мужской""","Отлично! Давай сначала познакомимся.
Скажи, чем ты занимаешься?",Бот не начал следующий шаг,3. Бот не принял пол
"Сценарий 2 - не играю в тиндер",4,"Отправляет одно из сообщений:
1. Фронт-енд
2. Java разработчик
3. Блоггер
4. <название случайной профессии>","Круто! Приятно познакомиться!

Сейчас давай поиграем в игру — я буду выводить тебе пары докладов и супер‑сжатую информацию о них, а ты будешь выбирать, какой именно из них тебе больше нравится. И так до тех пор, пока тебе не надоест.

Начнём?",Бот не начал следующий шаг,4. Бот не предложил игру
"Сценарий 2 - не играю в тиндер",5,"Нажимает кнопку ""Нет""","Ок! Напиши, когда будешь готов и мы начнём :)","1. Кнопка есть и на неё можно нажать",5. Ошибка при отказе от игры
